datetime,open,high,low,close,volume
2025-08-22 16:30:00,3330.985,3331.11,3329.27,3329.585,0.0
2025-08-22 16:45:00,3329.585,3329.585,3327.91,3329.455,0.0
2025-08-22 17:00:00,3329.455,3331.09,3328.64,3329.295,0.0
2025-08-22 17:15:00,3329.295,3330.2,3327.81,3329.455,0.0
2025-08-22 17:30:00,3329.455,3329.58,3325.25,3325.785,0.0
2025-08-22 17:45:00,3325.785,3330.025,3325.57,3326.06,0.0
2025-08-22 18:00:00,3326.06,3327.27,3321.51,3324.415,0.0
2025-08-22 18:15:00,3324.415,3326.385,3323.46,3323.62,0.0
2025-08-22 18:30:00,3323.62,3327.135,3323.33,3324.9,0.0
2025-08-22 18:45:00,3324.9,3329.33,3324.775,3328.725,0.0
2025-08-22 19:00:00,3328.725,3336.23,3328.725,3333.675,0.0
2025-08-22 19:15:00,3333.675,3335.67,3331.98,3333.845,0.0
2025-08-22 19:30:00,3333.845,3361.275,3333.845,3359.03,0.0
2025-08-22 19:45:00,3359.03,3367.755,3357.31,3366.005,0.0
2025-08-22 20:00:00,3366.005,3374.07,3366.005,3373.52,0.0
2025-08-22 20:15:00,3373.52,3376.81,3372.565,3373.89,0.0
2025-08-22 20:30:00,3373.89,3377.835,3373.125,3376.54,0.0
2025-08-22 20:45:00,3376.54,3378.105,3374.235,3376.945,0.0
2025-08-22 21:00:00,3376.945,3378.895,3371.87,3371.875,0.0
2025-08-22 21:15:00,3371.875,3373.185,3367.44,3367.945,0.0
2025-08-22 21:30:00,3367.945,3374.225,3367.945,3371.555,0.0
2025-08-22 21:45:00,3371.555,3373.6,3368.62,3368.97,0.0
2025-08-22 22:00:00,3368.97,3372.21,3368.84,3370.835,0.0
2025-08-22 22:15:00,3370.835,3371.55,3369.14,3370.64,0.0
2025-08-22 22:30:00,3370.64,3373.24,3370.56,3372.085,0.0
2025-08-22 22:45:00,3372.085,3374.065,3371.79,3373.99,0.0
2025-08-22 23:00:00,3373.99,3374.875,3373.415,3374.375,0.0
2025-08-22 23:15:00,3374.375,3375.585,3374.195,3374.275,0.0
2025-08-22 23:30:00,3374.275,3375.115,3373.23,3373.885,0.0
2025-08-22 23:45:00,3373.885,3374.04,3371.14,3372.78,0.0
2025-08-23 00:00:00,3372.78,3374.155,3372.14,3372.34,0.0
2025-08-23 00:15:00,3372.34,3373.975,3371.855,3372.82,0.0
2025-08-23 00:30:00,3372.82,3372.965,3370.84,3370.88,0.0
2025-08-23 00:45:00,3370.88,3370.9,3368.93,3370.115,0.0
2025-08-23 01:00:00,3370.115,3370.49,3369.105,3370.185,0.0
2025-08-23 01:15:00,3370.185,3373.75,3370.17,3373.295,0.0
2025-08-23 01:30:00,3373.295,3373.775,3371.27,3371.275,0.0
2025-08-23 01:45:00,3371.275,3371.51,3370.265,3371.375,0.0
2025-08-23 02:00:00,3371.375,3371.99,3370.83,3371.87,0.0
2025-08-23 02:15:00,3371.87,3372.535,3371.14,3371.92,0.0
2025-08-25 03:30:00,3371.92,3371.92,3367.26,3367.82,0.0
2025-08-25 03:45:00,3367.82,3368.835,3367.78,3367.915,0.0
2025-08-25 04:00:00,3367.915,3367.915,3366.1,3366.295,0.0
2025-08-25 04:15:00,3366.295,3367.82,3365.99,3367.375,0.0
2025-08-25 04:30:00,3367.375,3368.47,3366.49,3367.68,0.0
2025-08-25 04:45:00,3367.68,3368.15,3366.875,3367.505,0.0
2025-08-25 05:00:00,3367.505,3367.945,3366.93,3367.295,0.0
2025-08-25 05:15:00,3367.295,3371.025,3367.035,3369.185,0.0
2025-08-25 05:30:00,3369.185,3369.735,3364.44,3365.4,0.0
2025-08-25 05:45:00,3365.4,3366.425,3364.65,3365.02,0.0
2025-08-25 06:00:00,3365.02,3365.68,3364.455,3364.895,0.0
2025-08-25 06:15:00,3364.895,3365.75,3363.27,3364.965,0.0
2025-08-25 06:30:00,3364.965,3367.865,3364.085,3364.53,0.0
2025-08-25 06:45:00,3364.53,3366.185,3364.26,3364.81,0.0
